PublicID, PublicParentID, EntityCodeID,
Position 7, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Frame 009, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 009, Position, 
Frame 010, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 010, Position, 
Frame 011, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 011, Position, 
Frame 012, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 012, Position, 
Frame 013, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 013, Position, 
Frame 014, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 014, Position, 
Frame 015, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 015, Position, 
Frame 016, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 016, Position, 
Frame 017, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 017, Position, 
Frame 018, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 018, Position, 
Frame 019, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 019, Position, 
Frame 020, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 020, Position, 
Frame 021, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 021, Position, 
Frame 022, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 022, Position, 
Frame 023, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 023, Position, 
Frame 024, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 024, Position, 
Frame 025, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 025, Position, 
Frame 026, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 026, Position, 
Frame 027, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 027, Position, 
Frame 028, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 028, Position, 
Frame 029, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 029, Position, 
Frame 030, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 030, Position, 
Frame 031, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 031, Position, 
Frame 032, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 032, Position, 
Frame 033, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 033, Position, 
Frame 034, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 034, Position, 
Frame 035, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 035, Position, 
Frame 036, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 036, Position, 
Frame 037, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 037, Position, 
Frame 038, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 038, Position, 
Frame 039, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 039, Position, 
Frame 040, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 040, Position, 
Frame 041, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 041, Position, 
Frame 042, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 042, Position, 
Frame 043, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 043, Position, 
Frame 044, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 044, Position, 
Frame 045, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 045, Position, 
Frame 046, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 046, Position, 
Frame 047, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 047, Position, 
Frame 048, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 048, Position, 
Frame 049, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 049, Position, 
Frame 050, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 050, Position, 
Frame 051, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 051, Position, 
Frame 052, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 052, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 052, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 052, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 052, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 052, Position, 
